EventID,StartDateTime,EndDateTime,Category,ZipCode(s)
468379,3/9/19 4:00,3/9/19 11:00,Television,"10036, 10105"
468375,3/11/19 7:00,3/11/19 21:00,Television,"11209, 11220"
468331,3/11/19 7:00,3/11/19 21:00,Television,11101
468319,3/11/19 6:00,3/11/19 20:00,WEB,11106
468262,3/11/19 8:30,3/11/19 16:30,Television,11101
468242,3/11/19 7:00,3/11/19 23:00,Television,11385
468218,3/11/19 6:00,3/11/19 22:00,Commercial,10474
468212,3/11/19 8:00,3/11/19 18:00,Television,"10006, 10007"
468205,3/11/19 7:00,3/11/19 23:00,Television,"10017, 10036, 10173"
468200,3/8/19 6:00,3/8/19 21:00,Television,11104
468196,3/11/19 7:00,3/11/19 19:00,Television,"10026, 10027"
468190,3/11/19 6:00,3/11/19 21:00,Television,"10001, 10018"
468140,3/8/19 10:00,3/8/19 23:00,Television,11101
468137,3/11/19 7:00,3/11/19 23:59,Television,11209
468106,3/8/19 7:00,3/9/19 2:00,Television,10033
468101,3/8/19 9:00,3/9/19 1:00,Television,11222
468090,3/8/19 4:00,3/8/19 11:00,Television,"10036, 10105"
468089,3/11/19 10:00,3/11/19 23:59,Television,"10007, 10012, 10013"
468071,3/9/19 6:00,3/9/19 23:59,Theater,"10019, 10020"
468070,3/8/19 6:00,3/8/19 23:59,Theater,"10019, 10020, 10036"
468063,3/11/19 12:00,3/11/19 19:00,Television,"10007, 10013"
468057,3/11/19 4:00,3/11/19 20:00,Film,10014
468038,3/9/19 6:00,3/9/19 22:00,Commercial,"10001, 10011, 10012, 10013, 10018"
468020,3/10/19 6:00,3/10/19 18:00,Television,10022
468019,3/11/19 7:00,3/11/19 23:00,Television,11222
468015,3/8/19 4:30,3/8/19 9:00,Television,10128
467992,3/11/19 6:00,3/11/19 23:00,Television,"10010, 10016"
467984,3/11/19 6:00,3/11/19 22:00,Television,11435
467976,3/11/19 10:00,3/12/19 1:00,Television,11201
467975,3/8/19 7:00,3/8/19 23:59,Television,10304
467967,3/8/19 7:00,3/8/19 18:00,Television,11101
467952,3/11/19 7:00,3/11/19 20:00,Television,"10031, 10034"
467944,3/11/19 0:01,3/11/19 23:59,Theater,"10019, 10106"
467927,3/11/19 6:00,3/12/19 0:00,Television,10019
467924,3/8/19 13:00,3/8/19 21:00,Television,11101
467914,3/10/19 6:30,3/10/19 22:30,Film,11201
467901,3/9/19 7:00,3/9/19 21:00,Film,11203
467888,3/11/19 10:00,3/12/19 1:00,Television,"11233, 11237, 11385"
467883,3/8/19 8:00,3/8/19 23:00,Television,11222
467881,3/8/19 9:00,3/8/19 23:00,Television,"10019, 10023"
467857,3/8/19 8:00,3/8/19 21:00,Film,11206
467839,3/8/19 12:00,3/9/19 5:00,Television,10128
467834,3/7/19 7:00,3/7/19 21:00,Television,"10022, 11101"
467822,3/8/19 8:30,3/9/19 2:00,Television,"10003, 10012"
467821,3/8/19 13:00,3/9/19 4:30,Television,11101
467810,3/8/19 10:00,3/8/19 23:59,Student,10012
467809,3/7/19 7:00,3/7/19 21:00,Commercial,11222
467806,3/8/19 6:00,3/8/19 22:00,Commercial,"10001, 10011, 10013, 10016"
467744,3/7/19 10:00,3/8/19 2:00,Television,"11201, 11222, 11231"
467730,3/6/19 7:00,3/6/19 22:00,Television,11226
467720,3/8/19 8:30,3/8/19 23:00,Television,"11237, 11385"
467719,3/7/19 9:00,3/7/19 23:30,Television,"11237, 11385"
467712,3/8/19 8:00,3/8/19 19:30,Television,"10001, 10011"
467711,3/8/19 10:00,3/9/19 1:00,Television,11385
467696,3/7/19 10:00,3/8/19 0:00,Television,11385
467694,3/6/19 7:00,3/6/19 21:00,Television,11385
467672,3/6/19 9:00,3/6/19 23:00,Television,"11222, 11385"
467667,3/6/19 17:00,3/6/19 23:30,Television,"10002, 10007, 10013"
467661,3/7/19 6:00,3/7/19 22:00,Television,11222
467615,3/6/19 7:00,3/6/19 21:00,Television,"11101, 11222"
467596,3/7/19 6:00,3/7/19 22:00,Television,11222
467592,3/7/19 7:00,3/7/19 19:00,Television,"10012, 10013"
467589,3/6/19 6:00,3/6/19 22:00,Television,11222
467564,3/7/19 2:00,3/8/19 0:00,Film,"10467, 10468"
467555,3/7/19 6:00,3/7/19 23:00,Commercial,"10011, 10012"
467542,3/7/19 13:00,3/8/19 20:00,Television,"10001, 10018, 10027, 10031"
467539,3/7/19 12:00,3/8/19 2:45,Television,11101
467522,3/7/19 8:00,3/7/19 23:00,Television,11222
467513,3/8/19 9:00,3/8/19 23:59,Television,"10017, 10022"
467512,3/7/19 6:00,3/7/19 21:00,Television,"10016, 10017, 10022"
467486,3/7/19 7:00,3/7/19 23:59,Television,"10451, 10454, 10459, 10465, 10472, 10473, 10474"
467484,3/6/19 10:00,3/6/19 18:00,Television,"10007, 10013"
467481,3/7/19 8:00,3/7/19 21:00,Television,"10001, 10011"
467461,3/6/19 10:00,3/7/19 1:00,Television,"10003, 10011, 10014"
467460,3/7/19 6:00,3/7/19 22:00,Television,"10021, 10023, 10028, 10128"
467457,3/5/19 7:00,3/5/19 23:00,Television,11385
467454,3/6/19 8:00,3/6/19 23:39,Television,"10001, 10016"
467449,3/7/19 7:00,3/7/19 21:00,Television,11101
467447,3/7/19 7:00,3/8/19 2:00,Television,10033
467441,3/5/19 10:00,3/6/19 1:00,Television,"10013, 10019, 10023, 11385"
467436,3/7/19 7:00,3/7/19 21:00,Film,"10019, 10025"
467421,3/6/19 8:00,3/6/19 22:00,Television,"10007, 10013"
467419,3/8/19 12:00,3/8/19 23:00,Television,"10001, 10003, 10018, 10123"
467416,3/8/19 0:01,3/8/19 23:59,Theater,"10019, 10106"
467414,3/11/19 9:00,3/12/19 1:00,Television,11217
467391,3/7/19 11:00,3/8/19 2:00,Television,11357
467388,3/7/19 6:00,3/7/19 12:59,Theater,10036
467385,3/5/19 2:00,3/5/19 11:00,Television,10036
467383,3/5/19 6:00,3/6/19 0:00,Television,10002
467381,3/7/19 6:00,3/7/19 20:00,Television,10019
